0,1,2,3,4,5
Thermocouples,Type E,(-112 to -22) °F,,0.19 °F,"Type ""S"" platinum standard T/C above"
Thermocouples,Type E,(-22 to 752) °F,,0.18 °F,"Type ""S"" platinum standard T/C above"
Thermocouples,Type E,(752 to 1200) °F,,2.0 °F,"752 °F, PRT below"
Thermocouples,Type E,(1200 to 1832) °F,,2.2 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type J,(-112 to -22) °F,,0.20 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type J,(-22 to 752) °F,,0.21 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type J,(752 to 1200) °F,,1.5 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type J,(1200 to 2000) °F,,2.0 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type J,(2000 to 2192) °F,,2.7 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type K,(-112 to -22) °F,,0.22 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type K,(-22 to 752) °F,,0.24 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type K,(752 to 1200) °F,,1.5 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type K,(1200 to 2000) °F,,2.0 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type K,(2000 to 2500) °F,,3.2 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type N,(-112 to -22) °F,,0.28 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type N,(-22 to 752) °F,,0.26 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type N,(752 to 1200) °F,,1.6 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type N,(1200 to 2000) °F,,2.1 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type N,(2000 to 2372) °F,,2.9 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type R,(32 to 752) °F,,0.81 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type R,(752 to 1200) °F,,1.6 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type R,(1200 to 2000) °F,,2.0 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type R,(2000 to 2500) °F,,3.3 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type S,(32 to 752) °F,,0.81 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type S,(752 to 1200) °F,,1.6 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type S,(1200 to 2000) °F,,2.0 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type S,(2000 to 2500) °F,,3.2 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type T,(-112 to -22) °F,,0.23 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type T,(-22 to 752) °F,,0.20 °F,"752 °F, Fluke 1502A, Fluke 8846A"
Thermocouples,Type R,(32 to 752) °F,,0.81 °F,"Above 752 °F, comparison with NIST ref. standard below 752 °F, PRT, Fluke 1502A, Fluke"
Thermocouples,Type R,(752 to 1200) °F,,1.0 °F,"Above 752 °F, comparison with NIST ref. standard below 752 °F, PRT, Fluke 1502A, Fluke"
Thermocouples,Type R,(1200 to 2000) °F,,1.2 °F,"Above 752 °F, comparison with NIST ref. standard below 752 °F, PRT, Fluke 1502A, Fluke"
Thermocouples,Type R,(2000 to 2500) °F,,3.2 °F,"Above 752 °F, comparison with NIST ref. standard below 752 °F, PRT, Fluke 1502A, Fluke"
Thermocouples,Type S,(32 to 752) °F,,0.81 °F,8846A
Thermocouples,Type S,(752 to 1200) °F,,1.0 °F,8846A
Thermocouples,Type S,(1200 to 2000) °F,,1.2 °F,8846A
Thermocouples,Type S,(2000 to 2500) °F,,3.2 °F,8846A
